Model,ROC-AUC,PR-AUC,F1-Score,Recall,Precision,Accuracy
LightGBM V2,0.8404,0.3525,0.3394,0.8057,0.215,0.7316
Stacking V2,0.8403,0.3532,0.3432,0.7918,0.2191,0.7406
XGBoost V2,0.8395,0.3526,0.3394,0.8007,0.2153,0.7332
Logistic Regression,0.8374,0.349,0.3451,0.7858,0.2211,0.7447
Random Forest V2,0.8361,0.3412,0.3345,0.8047,0.2111,0.7258
Neural Network V2,0.7646,0.2219,0.2461,0.2205,0.2785,0.8844
