Model,FPR,TPR,AUC
LightGBM V2,0.0,0.0,0.8404323189982257
LightGBM V2,1.7098693659804392e-05,0.0,0.8404323189982257
LightGBM V2,1.7098693659804392e-05,0.00018264840182648402,0.8404323189982257
LightGBM V2,1.7098693659804392e-05,0.000547945205479452,0.8404323189982257
LightGBM V2,1.7098693659804392e-05,0.002009132420091324,0.8404323189982257
LightGBM V2,3.4197387319608784e-05,0.002009132420091324,0.8404323189982257
LightGBM V2,3.4197387319608784e-05,0.0029223744292237444,0.8404323189982257
LightGBM V2,5.1296080979413176e-05,0.0029223744292237444,0.8404323189982257
LightGBM V2,5.1296080979413176e-05,0.0036529680365296802,0.8404323189982257
LightGBM V2,6.839477463921757e-05,0.0036529680365296802,0.8404323189982257
LightGBM V2,6.839477463921757e-05,0.0038356164383561643,0.8404323189982257
LightGBM V2,8.549346829902196e-05,0.0038356164383561643,0.8404323189982257
LightGBM V2,8.549346829902196e-05,0.004018264840182648,0.8404323189982257
LightGBM V2,0.00011969085561863074,0.004018264840182648,0.8404323189982257
LightGBM V2,0.00011969085561863074,0.0051141552511415524,0.8404323189982257
LightGBM V2,0.00013678954927843514,0.0051141552511415524,0.8404323189982257
LightGBM V2,0.00013678954927843514,0.006027397260273973,0.8404323189982257
LightGBM V2,0.0001538882429382395,0.006027397260273973,0.8404323189982257
LightGBM V2,0.0001538882429382395,0.006392694063926941,0.8404323189982257
LightGBM V2,0.00017098693659804392,0.006392694063926941,0.8404323189982257
LightGBM V2,0.00017098693659804392,0.006757990867579908,0.8404323189982257
LightGBM V2,0.0001880856302578483,0.006757990867579908,0.8404323189982257
LightGBM V2,0.0001880856302578483,0.006940639269406392,0.8404323189982257
LightGBM V2,0.0002051843239176527,0.006940639269406392,0.8404323189982257
LightGBM V2,0.0002051843239176527,0.008401826484018264,0.8404323189982257
LightGBM V2,0.00022228301757745708,0.008401826484018264,0.8404323189982257
LightGBM V2,0.00022228301757745708,0.008584474885844748,0.8404323189982257
LightGBM V2,0.00023938171123726149,0.008584474885844748,0.8404323189982257
LightGBM V2,0.00023938171123726149,0.008767123287671232,0.8404323189982257
LightGBM V2,0.00025648040489706586,0.008767123287671232,0.8404323189982257
LightGBM V2,0.00025648040489706586,0.0091324200913242,0.8404323189982257
LightGBM V2,0.00027357909855687027,0.0091324200913242,0.8404323189982257
LightGBM V2,0.00027357909855687027,0.009680365296803653,0.8404323189982257
LightGBM V2,0.000307776485876479,0.009680365296803653,0.8404323189982257
LightGBM V2,0.000307776485876479,0.009863013698630137,0.8404323189982257
LightGBM V2,0.00032487517953628343,0.009863013698630137,0.8404323189982257
LightGBM V2,0.00032487517953628343,0.010776255707762557,0.8404323189982257
LightGBM V2,0.00034197387319608784,0.010776255707762557,0.8404323189982257
LightGBM V2,0.00034197387319608784,0.01132420091324201,0.8404323189982257
LightGBM V2,0.0003761712605156966,0.01132420091324201,0.8404323189982257
LightGBM V2,0.0003761712605156966,0.011506849315068493,0.8404323189982257
LightGBM V2,0.000393269954175501,0.011506849315068493,0.8404323189982257
LightGBM V2,0.000393269954175501,0.011872146118721462,0.8404323189982257
LightGBM V2,0.0004103686478353054,0.011872146118721462,0.8404323189982257
LightGBM V2,0.0004103686478353054,0.012602739726027398,0.8404323189982257
LightGBM V2,0.00042746734149510976,0.012602739726027398,0.8404323189982257
LightGBM V2,0.00042746734149510976,0.012785388127853882,0.8404323189982257
LightGBM V2,0.00044456603515491416,0.012785388127853882,0.8404323189982257
LightGBM V2,0.00044456603515491416,0.013515981735159817,0.8404323189982257
LightGBM V2,0.00046166472881471857,0.013515981735159817,0.8404323189982257
LightGBM V2,0.00046166472881471857,0.014063926940639269,0.8404323189982257
LightGBM V2,0.00047876342247452297,0.014063926940639269,0.8404323189982257
LightGBM V2,0.00047876342247452297,0.014246575342465753,0.8404323189982257
LightGBM V2,0.0005129608097941317,0.014246575342465753,0.8404323189982257
LightGBM V2,0.0005129608097941317,0.014611872146118721,0.8404323189982257
LightGBM V2,0.0005300595034539361,0.014611872146118721,0.8404323189982257
